problem,checkpoint,strict_solved,isolated_solved,core_solved,passed_tests,total_tests,total_pass_rate,isolated_pass_rate,core_pass_rate,cost,duration_seconds,steps,input_tokens,output_tokens,reasoning_tokens,loc,functions,cc_max,verbosity,erosion,cloned_pct
circuit_eval,1,True,True,True,36,36,1.0,1.0,1.0,0.0,1372.799259,44,229767,52094,0,433,18,19,0.2664835164835165,0.6434582268559081,0.016483516483516484
circuit_eval,2,True,True,True,99,99,1.0,1.0,1.0,0.0,360.118331,53,313373,15130,0,568,21,28,0.275,0.7581162597411566,0.0125
circuit_eval,3,True,True,True,205,205,1.0,1.0,1.0,0.0,1818.713532,108,1403188,72044,0,968,26,35,0.29411764705882354,0.7186130675192822,0.03721488595438175
circuit_eval,4,False,False,True,429,430,0.9976744186046511,0.9955555555555555,1.0,0.0,1095.304132,85,1072116,41738,0,1287,34,47,0.3556561085972851,0.8119369993871349,0.07058823529411765
circuit_eval,5,False,True,True,456,457,0.9978118161925602,1.0,1.0,0.0,1129.672529,61,748795,39673,0,1530,42,47,0.39233716475095787,0.8113472010677383,0.07203065134099616
circuit_eval,6,False,False,True,505,508,0.9940944881889764,0.9607843137254902,1.0,0.0,2195.868521,103,1399991,83330,0,1803,49,52,0.37181996086105673,0.8192776273302317,0.06131767775603392
circuit_eval,7,False,False,True,524,529,0.9905482041587902,0.9047619047619048,1.0,0.0,3656.977633,179,3410035,128218,0,2293,64,71,0.36116803278688525,0.8339934786450811,0.07274590163934426
circuit_eval,8,False,False,False,524,566,0.9257950530035336,0.0,0.0,0.0,2978.159146,43,347276,102321,0,2293,64,71,0.36116803278688525,0.8339934786450811,0.07274590163934426
database_migration,1,True,True,True,39,39,1.0,1.0,1.0,0.0,280.161201,46,273090,11173,0,406,23,18,0.3,0.557731933341588,0.0
database_migration,2,False,False,False,57,62,0.9193548387096774,0.782608695652174,0.6666666666666666,0.0,419.503186,44,268756,17034,0,617,30,18,0.28870292887029286,0.5312930443269541,0.0
database_migration,3,False,False,False,68,87,0.7816091954022989,0.48,0.0,0.0,7667.669644,105,690676,273989,0,617,30,18,0.28870292887029286,0.5312930443269541,0.0
database_migration,4,False,False,False,73,117,0.6239316239316239,0.16666666666666666,0.0,0.0,2567.207531,5,19881,49322,0,617,30,18,0.28870292887029286,0.5312930443269541,0.0
database_migration,5,False,False,False,84,137,0.6131386861313869,0.8,0.6666666666666666,0.0,3859.957595,161,2871780,73632,0,1254,47,24,0.3874873864783047,0.6712967563810132,0.055499495459132187
dynamic_config_service_api,1,True,True,True,47,47,1.0,1.0,1.0,0.0,2630.533762,30,159489,102241,0,440,4,12,0.3767313019390582,0.3348407103619667,0.07202216066481995
dynamic_config_service_api,2,False,False,True,92,93,0.989247311827957,0.9782608695652174,1.0,0.0,4379.583844,38,544787,163136,0,900,10,17,0.38421733505821476,0.44464766999698885,0.0517464424320828
dynamic_config_service_api,3,False,False,False,22,76,0.2894736842105263,0.2894736842105263,0.5,0.0,1377.869983,79,1292117,50633,0,1461,17,30,0.4125984251968504,0.5987008007167561,0.04173228346456693
dynamic_config_service_api,4,False,False,False,46,81,0.5679012345679012,0.5679012345679012,0.6666666666666666,0.0,1660.656573,78,1285328,60327,0,2711,50,46,0.4090328078397955,0.6674996161862942,0.07456327226246272
