problem,checkpoint,strict_solved,isolated_solved,core_solved,passed_tests,total_tests,total_pass_rate,isolated_pass_rate,core_pass_rate,cost,duration_seconds,steps,input_tokens,output_tokens,reasoning_tokens,loc,functions,cc_max,verbosity,erosion,cloned_pct
circuit_eval,1,True,True,True,36,36,1.0,1.0,1.0,0.0191782192,415.575059,17,21132,7627,41132,459,10,14,0.31746031746031744,0.4613424002002295,0.031746031746031744
circuit_eval,2,True,True,True,99,99,1.0,1.0,1.0,0.007049128799999999,147.170301,18,7569,4335,12631,623,13,37,0.30842911877394635,0.6808136984327443,0.034482758620689655
circuit_eval,3,False,False,True,172,205,0.8390243902439024,0.8490566037735849,1.0,0.0397289088,621.743184,39,54006,25588,50793,1066,22,41,0.43487621097954793,0.8486112809606492,0.09795479009687837
circuit_eval,4,False,False,True,386,430,0.8976744186046511,0.9511111111111111,1.0,0.0225125936,437.275208,39,35544,21916,20197,1386,36,52,0.4182415776499589,0.8527964877665535,0.11175020542317174
circuit_eval,5,False,True,True,413,457,0.9037199124726477,1.0,1.0,0.024331120800000005,501.719425,32,28757,13653,39010,1691,39,51,0.44609164420485176,0.8126667178263149,0.12735849056603774
circuit_eval,6,False,True,True,464,508,0.9133858267716536,1.0,1.0,0.0273424872,437.387529,43,39835,12907,36657,2082,50,51,0.414607358594179,0.8158524858486291,0.12904997254255904
circuit_eval,7,False,True,True,485,529,0.9168241965973535,1.0,1.0,0.04887189999999999,727.450751,71,74481,26658,44596,2777,67,55,0.3915365653245686,0.8589213339188843,0.13681183237469186
circuit_eval,8,False,False,False,519,566,0.9169611307420494,0.918918918918919,0.8823529411764706,0.09294961200000004,1623.803261,102,64997,38628,102398,4009,109,87,0.4137443438914027,0.8744078907427538,0.12302036199095022
database_migration,1,True,True,True,39,39,1.0,1.0,1.0,0.0174417768,342.069005,31,20427,14808,24628,630,27,14,0.41025641025641024,0.5679475393513456,0.047619047619047616
database_migration,2,False,False,False,59,62,0.9516129032258065,0.8695652173913043,0.6666666666666666,0.012347238399999998,219.757398,25,22422,13661,11000,887,35,14,0.44529262086513993,0.6573491819928875,0.13231552162849872
database_migration,3,False,False,True,82,87,0.9425287356321839,0.96,1.0,0.07790996080000001,1341.368588,101,48609,51131,77231,1568,62,36,0.49820531227566406,0.6794768088447833,0.21105527638190955
database_migration,4,False,False,False,108,117,0.9230769230769231,0.8666666666666667,0.8333333333333334,0.042448112,782.72913,53,33462,26794,59909,2341,87,36,0.4883941260066319,0.7500965127744721,0.20558976788252012
database_migration,5,False,False,False,121,137,0.8832116788321168,0.65,0.3333333333333333,0.03283252559999999,506.730649,37,75125,14761,37436,2785,98,36,0.4216388225934765,0.7004769015566005,0.18217979315831345
dynamic_config_service_api,1,False,False,True,44,47,0.9361702127659575,0.9361702127659575,1.0,0.024426595199999998,588.899296,10,11998,12789,62590,522,28,15,0.43686868686868685,0.4605240496754687,0.0
dynamic_config_service_api,2,False,False,True,88,93,0.946236559139785,0.9565217391304348,1.0,0.050440112800000006,936.77422,64,37205,34297,67638,1113,61,15,0.37895927601809953,0.41850323517562016,0.02262443438914027
dynamic_config_service_api,3,False,False,False,26,76,0.34210526315789475,0.34210526315789475,0.4166666666666667,0.04191232639999999,1099.888729,19,76636,33759,61583,1805,78,24,0.3978709248170326,0.5290612223112776,0.10379241516966067
dynamic_config_service_api,4,False,False,False,45,81,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.09677813040000002,2049.616895,113,57839,66725,88192,4294,116,68,0.4564983888292159,0.744655050784619,0.12083780880773362
