problem,checkpoint,strict_solved,isolated_solved,core_solved,passed_tests,total_tests,total_pass_rate,isolated_pass_rate,core_pass_rate,cost,duration_seconds,steps,input_tokens,cache_read_tokens,output_tokens,reasoning_tokens,loc,functions,cc_max,verbosity,erosion,cloned_pct
cfgpipe,1,False,False,True,33,37,0.8918918918918919,0.8918918918918919,1.0,0.053868,154.127259,22,80038,66048,7502,2264,214,9,18,0.3132530120481928,0.5810419481469775,0.0
cfgpipe,2,False,False,True,59,68,0.8676470588235294,0.8387096774193549,1.0,0.107722,253.1422,33,236115,213504,13020,5584,323,11,18,0.40234375,0.6443848768065583,0.0234375
cfgpipe,3,False,False,True,94,107,0.8785046728971962,0.8974358974358975,1.0,0.079627,122.473939,18,112703,95232,11948,5484,410,18,25,0.3543046357615894,0.41825514434015265,0.019867549668874173
cfgpipe,4,False,False,True,121,137,0.8832116788321168,0.9,1.0,0.582213,775.842442,63,1673398,1597824,63692,43982,820,28,26,0.4228855721393035,0.7038802374730658,0.09950248756218906
cfgpipe,5,False,True,True,171,187,0.9144385026737968,1.0,1.0,0.135279,183.688789,31,304113,278400,16577,7126,963,33,32,0.4295977011494253,0.706126388844561,0.08620689655172414
cfgpipe,6,False,True,True,200,216,0.9259259259259259,1.0,1.0,0.460013,594.366462,68,1441736,1380544,45249,30704,1064,35,32,0.40860215053763443,0.7171885304186059,0.08064516129032258
circuit_eval,1,True,True,True,36,36,1.0,1.0,1.0,0.24716,363.006624,24,428882,387392,36440,26445,1011,22,20,0.17158176943699732,0.511764094207385,0.021447721179624665
circuit_eval,2,True,True,True,99,99,1.0,1.0,1.0,0.145664,178.587933,35,339688,311616,17284,7260,1502,31,25,0.22427440633245382,0.6227131749455103,0.06860158311345646
circuit_eval,3,True,True,True,205,205,1.0,1.0,1.0,0.51564,617.712947,42,1236859,1156032,63472,41339,2507,46,31,0.21759747102212856,0.710081351067332,0.07270811380400422
circuit_eval,4,True,True,True,430,430,1.0,1.0,1.0,0.382453,308.744452,67,1341174,1264960,26914,10690,3019,57,37,0.2557235421166307,0.7062571082072256,0.09935205183585313
circuit_eval,5,True,True,True,457,457,1.0,1.0,1.0,0.466048,495.053541,69,1568936,1504128,40955,23534,3787,70,43,0.284719805081796,0.7431796631863473,0.11555864949530108
circuit_eval,6,True,True,True,508,508,1.0,1.0,1.0,0.453281,435.727835,91,1659769,1600128,35150,19955,4602,86,77,0.28259017324623686,0.7609666061868855,0.1261005396194263
circuit_eval,7,True,True,True,529,529,1.0,1.0,1.0,0.820874,770.891783,97,3159252,3064576,60150,36745,5638,110,101,0.26941691634017056,0.7876382497201617,0.12491357455634938
circuit_eval,8,False,False,False,564,566,0.9964664310954063,0.9459459459459459,0.8823529411764706,1.676893,1656.87885,135,6887252,6739840,114619,75232,7147,154,150,0.2845849802371542,0.8130360979572345,0.1218109953287819
code_search,1,True,True,True,13,13,1.0,1.0,1.0,0.04462,213.616995,12,48729,39040,7292,3807,254,8,23,0.13846153846153847,0.7644162489507408,0.03076923076923077
code_search,2,True,True,True,25,25,1.0,1.0,1.0,0.059474,217.01631,17,72020,51072,7850,4560,278,8,24,0.14953271028037382,0.7720568945019114,0.028037383177570093
code_search,3,False,False,False,42,47,0.8936170212765957,0.7727272727272727,0.875,1.718576,1610.925504,125,6733798,6577600,129443,108401,836,15,29,0.26375404530744334,0.6251728125558673,0.009708737864077669
code_search,4,False,False,False,49,75,0.6533333333333333,0.6785714285714286,0.6428571428571429,1.07168,1170.616677,92,3790917,3674304,93252,69833,1621,29,49,0.2667706708268331,0.7397579145025405,0.0093603744149766
code_search,5,False,False,False,72,104,0.6923076923076923,0.7241379310344828,0.8461538461538461,1.515385,1089.800353,161,6741865,6615424,84200,53482,2047,31,49,0.21127596439169138,0.7923211569432149,0.007121661721068249
dag_execution,1,False,False,False,28,33,0.8484848484848485,0.8484848484848485,0.6666666666666666,1.762826,3752.995927,102,6560581,6400832,146733,111982,2101,45,54,0.34348561759729274,0.7657760819494994,0.05752961082910321
dag_execution,2,False,False,False,34,41,0.8292682926829268,0.75,0.6,0.81739,728.674618,101,3274467,3191040,56892,38437,2627,55,61,0.3692927484333035,0.7816255597583902,0.06803939122649955
dag_execution,3,False,False,False,43,51,0.8431372549019608,0.8,0.6666666666666666,1.31792,1237.381199,159,5428492,5299840,86931,66704,2936,59,62,0.3606755126658625,0.8114405754385295,0.07076799356654603
database_migration,1,True,True,True,39,39,1.0,1.0,1.0,0.121423,280.15084,28,198895,165504,15806,5417,558,22,21,0.3133971291866029,0.6510480104608696,0.05502392344497608
database_migration,2,False,False,False,58,62,0.9354838709677419,0.8260869565217391,0.6666666666666666,0.09117,179.472337,33,201756,179712,10369,3469,805,25,47,0.33229329173166927,0.7806058607113404,0.1372854914196568
database_migration,3,False,True,True,82,87,0.9425287356321839,1.0,1.0,0.702215,712.336518,87,2320990,2232704,65278,36234,1874,48,83,0.25603217158176944,0.8592232545171089,0.1447721179624665
database_migration,4,False,False,False,107,117,0.9145299145299145,0.8333333333333334,0.8333333333333334,0.719028,649.35812,79,2510648,2422912,62003,34461,3028,74,99,0.29937369519832985,0.8599018052786574,0.12108559498956159
database_migration,5,False,False,False,123,137,0.8978102189781022,0.8,0.6666666666666666,0.441591,447.787019,79,1473794,1418752,40575,22786,4062,103,99,0.26800880780119535,0.7935267173660824,0.11355772255426234
datagate,1,True,True,True,50,50,1.0,1.0,1.0,0.148634,371.194882,35,235904,185792,17825,7518,442,9,17,0.24920127795527156,0.3804782242740153,0.08306709265175719
datagate,2,False,False,False,119,122,0.9754098360655737,0.9583333333333334,0.7777777777777778,0.056275,83.471969,20,105594,91584,7078,3885,552,10,17,0.25510204081632654,0.5694914059571933,0.0663265306122449
datagate,3,False,True,True,171,174,0.9827586206896551,1.0,1.0,0.249624,302.307914,71,795798,760704,23644,14013,677,13,23,0.3029045643153527,0.5500221003607478,0.05394190871369295
datagate,4,False,False,False,229,233,0.9828326180257511,0.9830508474576272,0.9166666666666666,0.308121,361.999902,64,861295,818112,34050,17010,1000,20,28,0.38950276243093923,0.577422119437745,0.09668508287292818
datagate,5,False,False,True,267,276,0.967391304347826,0.8837209302325582,1.0,0.082005,111.017865,26,188803,168320,8904,3134,1065,21,28,0.39210526315789473,0.5977070499909065,0.09473684210526316
datagate,6,False,False,True,341,353,0.9660056657223796,0.961038961038961,1.0,0.333807,375.662409,70,1129659,1085056,29457,13502,1902,42,28,0.2703081232492997,0.4598456544992132,0.04341736694677871
datagate,7,False,False,True,392,405,0.9679012345679012,0.9807692307692307,1.0,0.243341,282.378245,49,777813,735424,21351,10854,2404,60,28,0.23594266813671444,0.46569119532326125,0.040793825799338476
dynamic_buffer,1,True,True,True,30,30,1.0,1.0,1.0,4.326663,11133.060745,299,15612183,14996288,335539,266068,4098,115,88,0.393455098934551,0.8889770300186584,0.12861491628614916
dynamic_buffer,2,False,False,False,40,50,0.8,0.5,0.6,4.732006999999999,3900.850005,333,22363634,22003968,217423,148485,6236,159,170,0.3447166542934917,0.9127008291969249,0.13486760702796338
dynamic_buffer,3,False,False,False,84,104,0.8076923076923077,0.8148148148148148,0.8888888888888888,4.414371,3298.959071,291,22671737,22439232,150804,61988,10601,165,170,0.32159514925373134,0.9200550007513236,0.14762126865671643
dynamic_buffer,4,False,False,False,92,172,0.5348837209302325,0.11764705882352941,0.2,5.570826,4304.381007,450,27432489,27065152,222859,115051,15780,216,170,0.3552456839309429,0.927028020250492,0.19256308100929614
dynamic_config_service_api,1,False,False,True,45,47,0.9574468085106383,0.9574468085106383,1.0,0.448854,1429.68028,36,938734,869056,60903,40135,1256,32,63,0.23857868020304568,0.8314962634177504,0.048730964467005075
dynamic_config_service_api,2,False,True,True,91,93,0.978494623655914,1.0,1.0,0.506138,523.60949,61,1534207,1461184,50744,26129,2421,72,63,0.297339593114241,0.8258884756464937,0.08972352634324465
dynamic_config_service_api,3,False,False,False,25,76,0.32894736842105265,0.32894736842105265,0.4166666666666667,0.848818,750.761017,91,3072576,2979008,70822,40397,3727,112,109,0.27785326086956524,0.8289101963496094,0.09001358695652174
dynamic_config_service_api,4,False,False,False,45,81,0.5555555555555556,0.5555555555555556,0.6666666666666666,2.350571,1505.732247,223,10986957,10828288,116827,65138,5563,152,109,0.3263086335825969,0.8657735016755429,0.10083843190573306
env_manager,1,False,False,True,60,66,0.9090909090909091,0.9090909090909091,1.0,0.392099,543.989161,36,879968,823040,51583,37400,539,16,57,0.41114058355437666,0.8398362861546576,0.15119363395225463
env_manager,2,False,True,True,112,118,0.9491525423728814,1.0,1.0,0.386056,452.772595,57,1142074,1087808,40113,25045,811,22,51,0.3856893542757417,0.8119521964159137,0.08551483420593368
env_manager,3,False,True,True,181,187,0.9679144385026738,1.0,1.0,0.174192,218.227859,43,484182,454528,18324,9590,1126,27,51,0.456575682382134,0.8418257673378274,0.1513647642679901
