problem,checkpoints,strict_solved,isolated_solved,core_solved,strict_rate,isolated_rate,core_rate,final_passed_tests,final_total_tests,final_pass_rate,cost,duration_seconds,steps,output_tokens,first_loc,final_loc,peak_cc
cfgpipe,6,0,2,6,0.0,0.3333333333333333,1.0,200,216,0.9259259259259259,1.418722,2083.641091,235,157988,214,1064,32
circuit_eval,8,7,7,7,0.875,0.875,0.875,564,566,0.9964664310954063,4.708013,4826.603965,560,394984,1011,7147,150
code_search,5,2,2,2,0.4,0.4,0.4,72,104,0.6923076923076923,4.409735,4301.975839,407,322037,254,2047,49
dag_execution,3,0,0,0,0.0,0.0,0.0,43,51,0.8431372549019608,3.898136,5719.051744,362,290556,2101,2936,62
database_migration,5,1,2,2,0.2,0.4,0.4,123,137,0.8978102189781022,2.075427,2269.1048339999998,306,194031,558,4062,99
datagate,7,1,2,5,0.14285714285714285,0.2857142857142857,0.7142857142857143,392,405,0.9679012345679012,1.421807,1888.0331860000001,335,142309,442,2404,28
dynamic_buffer,4,1,1,1,0.25,0.25,0.25,92,172,0.5348837209302325,19.043867,22637.250828,1373,926625,4098,15780,170
dynamic_config_service_api,4,0,1,2,0.0,0.25,0.5,45,81,0.5555555555555556,4.154381,4209.783034,411,299296,1256,5563,109
env_manager,5,0,2,5,0.0,0.4,1.0,290,304,0.9539473684210527,1.9595250000000002,2226.572216,270,196257,539,1982,57
etl_pipeline,5,0,3,5,0.0,0.6,1.0,161,164,0.9817073170731707,1.4792399999999999,2368.053882,183,188807,843,3835,51
eve_industry,6,4,4,6,0.6666666666666666,0.6666666666666666,1.0,74,80,0.925,6.386525000000001,8377.043887,454,625062,428,1866,47
eve_jump_planner,3,0,0,3,0.0,0.0,1.0,10,31,0.3225806451612903,7.110115,10630.55249,518,500966,578,1100,89
eve_market_tools,4,0,0,0,0.0,0.0,0.0,12,75,0.16,6.392978,6866.7300700000005,730,355097,1470,5276,198
eve_route_planner,3,1,1,2,0.3333333333333333,0.3333333333333333,0.6666666666666666,24,41,0.5853658536585366,4.198707,5437.376223,412,287447,483,1988,62
execution_server,6,0,4,5,0.0,0.6666666666666666,0.8333333333333334,68,70,0.9714285714285714,0.956513,1423.624356,190,107955,363,2038,28
file_backup,4,0,0,4,0.0,0.0,1.0,58,89,0.651685393258427,0.280455,503.985882,101,34182,324,559,30
file_merger,4,1,2,2,0.25,0.5,0.5,134,147,0.9115646258503401,3.4334990000000003,4930.854841,369,275496,1033,3594,29
file_query_tool,5,0,2,4,0.0,0.4,0.8,73,81,0.9012345679012346,3.777131,4459.329132,408,293253,1253,2991,79
forge,8,0,4,8,0.0,0.5,1.0,275,295,0.9322033898305084,1.116773,2686.450524,257,111041,281,1694,53
l2m,5,1,1,3,0.2,0.2,0.6,43,64,0.671875,1.437965,2792.421895,226,174923,240,1023,16
layered_config_synthesizer,4,0,0,0,0.0,0.0,0.0,50,98,0.5102040816326531,1.9567269999999999,3589.160836,222,224567,7156,9870,46
log_query,5,1,2,4,0.2,0.4,0.8,331,336,0.9851190476190477,3.4044879999999997,5418.258231,305,349546,520,1914,69
meshctl,8,1,1,7,0.125,0.125,0.875,74,78,0.9487179487179487,2.477927,4297.710525,374,272034,502,6431,87
metric_transform_lang,5,1,1,5,0.2,0.2,1.0,27,74,0.36486486486486486,6.84292,7776.8329459999995,799,396163,919,4631,76
migrate_configs,5,0,1,5,0.0,0.2,1.0,112,129,0.8682170542635659,2.462329,4152.712142,317,228412,8173,12606,52
mocked_http,8,0,1,5,0.0,0.125,0.625,155,200,0.775,10.631734,12239.35646,1235,544919,2292,11550,126
mvvault,6,0,3,5,0.0,0.5,0.8333333333333334,41,42,0.9761904761904762,2.103865,3427.896775,358,186954,695,4548,63
pwd_manager,5,0,0,1,0.0,0.0,0.2,175,257,0.6809338521400778,3.090719,4443.922908,398,254587,460,2000,17
recli,8,0,0,1,0.0,0.0,0.125,177,255,0.6941176470588235,8.193016,8649.845064,889,561746,837,6392,41
rejector,5,0,0,1,0.0,0.0,0.2,72,79,0.9113924050632911,3.651498,7445.832274,362,314706,1155,6861,86
sheeteval,7,0,0,6,0.0,0.0,0.8571428571428571,142,164,0.8658536585365854,2.853021,3879.613729,365,283444,310,4857,175
sith,6,0,0,3,0.0,0.0,0.5,205,228,0.8991228070175439,19.217811,17225.192733,1328,907098,1823,10226,65
test_translator,8,0,0,2,0.0,0.0,0.25,1433,2069,0.6926051232479459,15.104779,17137.376881,1347,885858,1003,9351,50
textdrop,6,1,2,6,0.16666666666666666,0.3333333333333333,1.0,176,183,0.9617486338797814,2.024706,3030.346536,431,188784,287,1832,20
trajectory_api,5,0,0,3,0.0,0.0,0.6,303,373,0.8123324396782842,3.123418,4011.544392,332,287839,1283,6020,75
xjq,5,1,2,4,0.2,0.4,0.8,161,167,0.9640718562874252,0.716861,1787.460238,204,94176,92,968,31
