problem,checkpoint,strict_solved,isolated_solved,core_solved,passed_tests,skipped_tests,total_tests,total_pass_rate,isolated_pass_rate,core_pass_rate,cost,duration_seconds,steps,input_tokens,cache_read_tokens,output_tokens,reasoning_tokens,lines_added,lines_removed,loc,functions,cc_high_count,cc_max,verbosity,erosion
circuit_eval,1,True,True,True,36,0,36,1.0,1.0,1.0,0.173828,384.462307,28,253062,189184,20719,0,639,0,639,10,5,24,0.21914893617021278,0.8600310185077589
circuit_eval,2,True,True,True,99,0,99,1.0,1.0,1.0,0.063499,151.498271,19,93273,67456,7045,0,239,2,876,14,7,26,0.2301710730948678,0.8581221082602843
circuit_eval,3,True,True,True,205,0,205,1.0,1.0,1.0,0.427947,1154.448862,84,915486,778816,43375,0,716,91,1501,24,10,45,0.3143841515934539,0.8773366742517819
circuit_eval,4,False,False,False,408,0,430,0.9488372093023256,0.9022222222222223,0.896551724137931,0.197183,306.132848,32,334543,247936,18809,0,396,34,1863,33,12,50,0.4652920962199313,0.8886355409254729
circuit_eval,5,False,False,True,456,0,457,0.9978118161925602,0.9629629629629629,1.0,0.393701,660.23465,55,1094817,968960,29776,0,509,38,2334,40,15,50,0.4809989142236699,0.8875616173726681
circuit_eval,6,False,True,True,507,0,508,0.9980314960629921,1.0,1.0,0.245249,509.322773,69,703123,628480,18445,0,385,3,2716,49,18,50,0.4564508616674429,0.8892780148921934
circuit_eval,7,False,False,True,526,0,529,0.994328922495274,0.9047619047619048,1.0,0.371252,608.229976,49,1082122,964672,26332,0,835,162,3389,61,22,50,0.46366654371080784,0.9003738746542436
circuit_eval,8,False,False,False,526,0,566,0.9293286219081273,0.0,0.0,0.172087,407.073677,29,186765,111168,20621,0,0,0,3389,61,22,50,0.46366654371080784,0.9003738746542436
code_search,1,True,True,True,13,0,13,1.0,1.0,1.0,0.038735,147.339264,12,38937,25088,5391,0,251,0,251,7,1,28,0.1076923076923077,0.6791998321720197
code_search,2,True,True,True,25,0,25,1.0,1.0,1.0,0.029294,47.127416,15,34026,17984,2794,0,39,22,268,7,1,29,0.10328638497652583,0.6720712562723203
code_search,3,False,False,False,42,0,47,0.8936170212765957,0.7727272727272727,0.875,0.34399,712.546158,35,599660,497344,41804,0,407,17,658,17,4,30,0.15667311411992263,0.7900271775671979
code_search,4,False,False,False,45,0,75,0.6,0.10714285714285714,0.0,0.002689,4.39525,4,3477,1152,74,0,0,0,658,17,4,30,0.15667311411992263,0.7900271775671979
code_search,5,False,False,False,9,0,104,0.08653846153846154,0.034482758620689655,0.0,1.067453,1362.155712,126,3711540,3446208,65999,0,608,121,1145,26,6,50,0.4076086956521739,0.8604879212915747
dag_execution,1,False,False,False,22,0,33,0.6666666666666666,0.6666666666666666,0.5,1.024116,1426.188509,140,4042583,3884928,63188,0,1753,0,1753,36,18,34,0.39343163538873993,0.6992190424189931
dag_execution,2,False,False,False,26,0,41,0.6341463414634146,0.5,0.2,0.44305,666.578358,69,1345774,1223552,32793,0,357,2,2108,43,19,42,0.4084585420144686,0.6685262949445108
dag_execution,3,False,False,False,35,0,51,0.6862745098039216,0.8,0.3333333333333333,0.448357,667.413491,81,1533703,1410624,26433,0,213,8,2313,46,23,43,0.4079878665318504,0.7101449197301062
database_migration,1,True,True,True,39,0,39,1.0,1.0,1.0,0.069647,173.46311,21,101289,76608,8486,0,357,0,357,14,4,23,0.20344827586206896,0.7151594778799308
database_migration,2,False,False,False,58,0,62,0.9354838709677419,0.8260869565217391,0.6666666666666666,0.077934,145.469996,26,121449,79808,6401,0,191,3,545,20,7,23,0.3142857142857143,0.7745823428246836
database_migration,3,False,False,True,81,1,87,0.9310344827586207,0.96,1.0,0.359375,595.307725,64,996735,903296,31520,0,568,37,1076,38,12,39,0.32997762863534674,0.7353692306326093
database_migration,4,False,False,False,95,1,117,0.811965811965812,0.4666666666666667,0.16666666666666666,0.634224,757.091421,81,1942750,1754496,43666,0,707,10,1773,59,17,39,0.41767068273092367,0.7334390247039133
database_migration,5,False,False,False,104,1,137,0.7591240875912408,0.45,0.0,0.019077,195.741705,11,32400,15680,171,0,0,0,1773,59,17,39,0.41767068273092367,0.7334390247039133
dynamic_config_service_api,1,False,False,True,45,0,47,0.9574468085106383,0.9574468085106383,1.0,0.220572,718.629763,42,432242,349696,21551,0,1005,0,1005,17,4,30,0.3048469387755102,0.7421554310938147
dynamic_config_service_api,2,False,True,True,91,0,93,0.978494623655914,1.0,1.0,0.642505,1172.61775,159,2050611,1880512,45007,0,1170,67,2108,42,8,38,0.3013126491646778,0.7189939054262554
dynamic_config_service_api,3,False,False,False,24,46,76,0.3157894736842105,0.3157894736842105,0.4166666666666667,0.622654,727.997724,90,2016703,1842752,40640,0,1164,24,3248,56,17,49,0.34523357387011017,0.8001689559440625
dynamic_config_service_api,4,False,False,False,40,14,81,0.49382716049382713,0.49382716049382713,0.5,0.983652,1464.960569,63,2580400,2290752,85491,0,2201,0,5449,84,37,60,0.3704932537049325,0.8126347127722644
etl_pipeline,1,False,False,True,37,0,41,0.9024390243902439,0.9024390243902439,1.0,0.054014,136.771029,14,53992,34048,7405,0,552,0,552,8,3,36,0.6467991169977925,0.7810353572700175
etl_pipeline,2,False,False,False,41,0,73,0.5616438356164384,0.125,0.0625,0.080767,223.172099,15,88597,59008,10804,0,604,0,1156,28,6,36,0.5671321160042965,0.6849913326595765
etl_pipeline,3,False,False,False,47,0,117,0.4017094017094017,0.13636363636363635,0.0,0.096442,150.321936,20,149743,109248,10123,0,324,43,1437,34,9,37,0.6081771720613288,0.7429682278227447
etl_pipeline,4,False,False,False,47,0,134,0.35074626865671643,0.0,0.0,0.083139,180.287828,25,132626,100608,9156,0,212,33,1616,41,10,37,0.5934897804693414,0.7069912805350584
etl_pipeline,5,False,False,True,135,0,164,0.823170731707317,0.9333333333333333,1.0,0.21749500000000002,736.002015,63,380530,281536,19601,0,226,715,1127,36,10,29,0.5803571428571429,0.728831173921348
file_backup,1,False,False,True,21,0,32,0.65625,0.65625,1.0,0.054062,129.536214,13,54744,29312,6303,0,289,0,289,9,2,24,0.05555555555555555,0.8710959655988277
file_backup,2,False,False,True,34,0,50,0.68,0.7222222222222222,1.0,0.071511,113.68822,25,133670,102848,6443,0,121,6,404,11,2,37,0.03896103896103896,0.8997650484055807
file_backup,3,False,False,True,45,0,68,0.6617647058823529,0.6111111111111112,1.0,0.053054,93.229238,16,74606,46016,4633,0,77,0,481,14,2,43,0.04632152588555858,0.8894105430989347
file_backup,4,False,False,True,59,0,89,0.6629213483146067,0.6666666666666666,1.0,0.062908,207.1025,8,14049,8256,14021,0,0,0,481,14,2,43,0.04632152588555858,0.8894105430989347
xjq,1,True,True,True,23,0,23,1.0,1.0,1.0,0.055092,138.216933,20,54209,29568,6738,0,121,0,121,7,0,9,0.5180722891566265,0.0
xjq,2,False,False,False,48,0,51,0.9411764705882353,0.8928571428571429,0.9230769230769231,0.07921,182.416354,21,84984,48192,9137,0,148,5,264,11,3,19,0.4950980392156863,0.7339310189170237
xjq,3,False,True,True,93,0,96,0.96875,1.0,1.0,0.041216,111.376068,17,55567,38720,4754,0,118,6,376,16,4,22,0.44964028776978415,0.7155770465525375
xjq,4,False,False,True,118,0,122,0.9672131147540983,0.9615384615384616,1.0,0.04439,118.787679,23,78152,62336,4848,0,67,24,419,16,4,25,0.4811320754716981,0.7314222854147223
xjq,5,False,False,False,160,0,167,0.9580838323353293,0.9333333333333333,0.9444444444444444,0.035646,113.340748,11,36472,23936,4977,0,53,7,465,19,4,30,0.4985754985754986,0.7395614485368275
