problem,checkpoint,strict_solved,isolated_solved,core_solved,passed_tests,total_tests,total_pass_rate,isolated_pass_rate,core_pass_rate,cost,duration_seconds,steps,input_tokens,output_tokens,reasoning_tokens,loc,functions,cc_max,verbosity,erosion,cloned_pct
circuit_eval,1,True,True,True,36,36,1.0,1.0,1.0,0.590139,789.067092,52,563255,22787,11823,702,14,20,0.24504504504504504,0.758758542642131,0.014414414414414415
circuit_eval,2,True,True,True,99,99,1.0,1.0,1.0,0.228836,392.550986,30,244941,11347,4171,982,22,31,0.24967824967824967,0.8061579350142843,0.04118404118404118
circuit_eval,3,False,False,False,122,205,0.5951219512195122,0.2169811320754717,0.0,0.108369,1160.884533,25,47792,17726,16812,982,22,31,0.24967824967824967,0.8061579350142843,0.04118404118404118
circuit_eval,4,False,False,False,203,430,0.4720930232558139,0.28888888888888886,0.28888888888888886,1.0045060000000001,2807.230893,68,906597,58564,36404,1407,37,35,0.33883579496090355,0.8958404157763309,0.10686359687228497
circuit_eval,5,False,False,True,223,457,0.487964989059081,0.6666666666666666,1.0,1.608887,1741.683051,80,1872932,41558,21832,1819,43,35,0.4206666666666667,0.9108772799342856,0.14533333333333334
circuit_eval,6,False,True,True,279,508,0.5492125984251969,1.0,1.0,1.836187,2098.975234,97,2171159,45022,27235,2299,52,61,0.4362311296199896,0.918858993591949,0.13222280062467465
circuit_eval,7,False,False,False,0,214,0.0,0.0,0.0,1.8730399999999998,1017.768218,83,1779715,47347,20471,3336,71,158,0.5087406350338922,0.9277868255050785,0.18551551908669284
circuit_eval,8,False,False,False,0,449,0.0,0.0,0.0,6.637316,1470.18055,171,6672035,74721,47810,4105,91,233,0.5352112676056338,0.9298737202953948,0.19517102615694165
code_search,1,True,True,True,13,13,1.0,1.0,1.0,0.204133,326.799546,32,173032,10254,5764,202,7,22,0.2922077922077922,0.9159704854516609,0.05194805194805195
code_search,2,False,True,True,24,25,0.96,1.0,1.0,0.051789,151.074523,11,38246,4483,1589,228,8,22,0.29545454545454547,0.8923298238441408,0.045454545454545456
code_search,3,False,False,False,24,47,0.5106382978723404,0.0,0.0,0.214866,1660.941564,29,93707,33458,31373,227,8,22,0.29545454545454547,0.8930254159605306,0.045454545454545456
code_search,4,False,False,False,25,75,0.3333333333333333,0.03571428571428571,0.0,0.499037,1632.190762,80,471482,31957,22660,348,11,32,0.4982078853046595,0.8933071197597107,0.0931899641577061
